route,file_id,rpm_change,windows,own_scale_drift,common_scale_drift
equal_revolutions,target/P.mat,0.1,4,0.0577929801396978,0.0577929801396978
one_second,target/A.mat,-0.1,7,0.0894657225368182,0.0905674257452491
one_second,target/A.mat,-0.05,7,0.0672074547844123,0.0677777863685206
one_second,target/A.mat,0,7,0,0
one_second,target/A.mat,0.05,7,0.0466525178065855,0.0476631304080503
one_second,target/A.mat,0.1,7,0.0507704490192806,0.0519534105122008
one_second,target/B.mat,-0.1,7,0.0768297705134629,0.0781336563768862
one_second,target/B.mat,-0.05,7,0.174212193312243,0.175131943787419
one_second,target/B.mat,0,7,0,0
one_second,target/B.mat,0.05,7,0.054307400274113,0.0557344379798833
one_second,target/B.mat,0.1,7,0.0513032074348181,0.0518754957566478
one_second,target/C.mat,-0.1,7,0.256037857782487,0.269097393388986
one_second,target/C.mat,-0.05,7,0.222464044471044,0.225058176670789
one_second,target/C.mat,0,7,0,0
one_second,target/C.mat,0.05,7,0.588178052805335,0.589594389975915
one_second,target/C.mat,0.1,7,0.834707209523624,0.836636875061484
one_second,target/D.mat,-0.1,7,0.06290333845497,0.0639314347129475
one_second,target/D.mat,-0.05,7,0.0402514614647425,0.0410147770403169
one_second,target/D.mat,0,7,0,0
one_second,target/D.mat,0.05,7,0.0610461045488353,0.0616280628451006
one_second,target/D.mat,0.1,7,0.0693258239876903,0.0708337833713351
one_second,target/E.mat,-0.1,7,0.217515884061014,0.224052898128527
one_second,target/E.mat,-0.05,7,0.181576917400597,0.183099087905508
one_second,target/E.mat,0,7,0,0
one_second,target/E.mat,0.05,7,0.597804690009761,0.599197564415061
one_second,target/E.mat,0.1,7,0.66349673778889,0.665242501129194
one_second,target/F.mat,-0.1,7,0.06980014071743,0.0717132842968511
one_second,target/F.mat,-0.05,7,0.0648507361418917,0.0664068753045431
one_second,target/F.mat,0,7,0,0
one_second,target/F.mat,0.05,7,0.124679869300816,0.127785336476167
one_second,target/F.mat,0.1,7,0.0755054945729787,0.0768271219966853
one_second,target/G.mat,-0.1,7,0.310758541418148,0.311650164797633
one_second,target/G.mat,-0.05,7,0.0624937250460351,0.0634258185623423
one_second,target/G.mat,0,7,0,0
one_second,target/G.mat,0.05,7,0.0387641171411093,0.0394026059366328
one_second,target/G.mat,0.1,7,0.041863494366301,0.0425547735527862
one_second,target/H.mat,-0.1,7,0.139245639192773,0.142589747394074
one_second,target/H.mat,-0.05,7,0.101856992280437,0.10416800684655
one_second,target/H.mat,0,7,0,0
one_second,target/H.mat,0.05,7,0.0812164312914968,0.0832515861118771
one_second,target/H.mat,0.1,7,0.169442103125034,0.173356704011773
one_second,target/I.mat,-0.1,7,0.212465073793929,0.222582616788965
one_second,target/I.mat,-0.05,7,0.406636099206888,0.408032151065014
one_second,target/I.mat,0,7,0,0
one_second,target/I.mat,0.05,7,0.932046029846086,0.934134934130635
one_second,target/I.mat,0.1,7,0.978482082296029,0.980728554964184
one_second,target/J.mat,-0.1,7,0.224156976748362,0.236235428507842
one_second,target/J.mat,-0.05,7,0.41168535345008,0.413046215514023
one_second,target/J.mat,0,7,0,0
one_second,target/J.mat,0.05,7,0.816689700542734,0.81849462155571
one_second,target/J.mat,0.1,7,0.967724904906751,0.969823760355235
one_second,target/K.mat,-0.1,7,0.183410291075125,0.186612515231382
one_second,target/K.mat,-0.05,7,0.103252928742212,0.105572056615782
one_second,target/K.mat,0,7,0,0
one_second,target/K.mat,0.05,7,0.0819557914768614,0.0838252812339563
one_second,target/K.mat,0.1,7,0.178674637974672,0.182853642444678
one_second,target/L.mat,-0.1,7,0.174308987681646,0.175048128602602
one_second,target/L.mat,-0.05,7,0.0840376967724512,0.0853111539734856
one_second,target/L.mat,0,7,0,0
one_second,target/L.mat,0.05,7,0.124847243041441,0.125529828533531
one_second,target/L.mat,0.1,7,0.0810148121229295,0.08182672860933
one_second,target/M.mat,-0.1,7,0.17159468684664,0.175061018737299
one_second,target/M.mat,-0.05,7,0.0999557526168775,0.102216827273249
one_second,target/M.mat,0,7,0,0
one_second,target/M.mat,0.05,7,0.0634393232471309,0.0648849786280377
one_second,target/M.mat,0.1,7,0.165406094265239,0.169221262793295
one_second,target/N.mat,-0.1,7,0.120643058742091,0.122024326308374
one_second,target/N.mat,-0.05,7,0.101814838150588,0.102480551187762
one_second,target/N.mat,0,7,0,0
one_second,target/N.mat,0.05,7,0.0671056352434408,0.068899440409785
one_second,target/N.mat,0.1,7,0.0865070782112029,0.0876866490226103
one_second,target/O.mat,-0.1,7,0.147651347297603,0.150093902867247
one_second,target/O.mat,-0.05,7,0.121521640467941,0.123351829839648
one_second,target/O.mat,0,7,0,0
one_second,target/O.mat,0.05,7,0.0745073989360692,0.0762408747737238
one_second,target/O.mat,0.1,7,0.451685377688911,0.452836113691956
one_second,target/P.mat,-0.1,7,0.0994697481892297,0.100323331371893
one_second,target/P.mat,-0.05,7,0.136877778617499,0.138367865314315
one_second,target/P.mat,0,7,0,0
one_second,target/P.mat,0.05,7,0.0968588351338494,0.0977361163634928
one_second,target/P.mat,0.1,7,0.0391474712027053,0.0396958511272424
