fs_hz,low_hz,high_hz,taps,center_gain,stopband_max_db_300hz_margin
12000,500,1500,241,1,-94.0084279051891
12000,1500,3000,241,1,-93.8984058921554
12000,3000,5000,241,0.999999999999995,-93.8745890953295
32000,500,1500,641,0.999999999999994,-93.9490423814893
32000,1500,3000,641,1,-93.7832982558145
32000,3000,5000,641,0.999999999999996,-93.7224525404067
48000,500,1500,961,0.999999999999984,-93.9441818303703
48000,1500,3000,961,0.999999999999976,-93.7762826966534
48000,3000,5000,961,1.00000000000001,-93.7133839739738
