feature,env_spread_order,env_entropy,env_centroid_order,skewness,peak_to_peak,env_harmonic_ratio,crest_factor,env_low_order_ratio
env_spread_order,1,0.75260257195346,0.621870352550083,-0.186527862829149,-0.61581663896422,-0.570116350275566,-0.457090368296737,-0.0331904470300061
env_entropy,0.75260257195346,1,0.28149768174263,-0.276143819438369,-0.521196745691541,-0.89208293237687,-0.143976904907707,0.227959058700026
env_centroid_order,0.621870352550083,0.28149768174263,1,-0.0964220103228064,-0.579564342577202,-0.125815764150118,-0.714705625054676,-0.761595660922054
skewness,-0.186527862829149,-0.276143819438369,-0.0964220103228064,1,0.116717697489284,0.337380806578602,-0.0499518852243898,-0.0293762575452716
peak_to_peak,-0.61581663896422,-0.521196745691541,-0.579564342577202,0.116717697489284,1,0.351727757851457,0.290210830198583,0.256967894322456
env_harmonic_ratio,-0.570116350275566,-0.89208293237687,-0.125815764150118,0.337380806578602,0.351727757851457,1,0.0341352462601697,-0.322753914793106
crest_factor,-0.457090368296737,-0.143976904907707,-0.714705625054676,-0.0499518852243898,0.290210830198583,0.0341352462601697,1,0.534843845682792
env_low_order_ratio,-0.0331904470300061,0.227959058700026,-0.761595660922054,-0.0293762575452716,0.256967894322456,-0.322753914793106,0.534843845682792,1
