min_samples_leaf,max_features,accuracy_mean,accuracy_min,macro_f1_mean,balanced_accuracy_mean,normal_recall_mean,max_features_order
1,0.25,0.950537634408602,0.935483870967742,0.961836009649448,0.967672375933246,1,1
1,0.5,0.948387096774194,0.924731182795699,0.960289027302966,0.964336846728151,1,2
1,0.75,0.944086021505376,0.924731182795699,0.955690328522316,0.95862977602108,1,3
1,1.0,0.937634408602151,0.903225806451613,0.950897280017552,0.953170838823013,1,4
1,sqrt,0.952688172043011,0.946236559139785,0.963971872396249,0.97100790513834,1,0
2,0.25,0.93763440860215,0.924731182795699,0.952860991265916,0.962068511198946,1,1
2,0.5,0.937634408602151,0.913978494623656,0.952862807994088,0.959942907334212,1,2
2,0.75,0.931182795698925,0.913978494623656,0.946223354424402,0.951963109354414,1,3
2,1.0,0.926881720430108,0.903225806451613,0.936406177455196,0.948678085199824,1,4
2,sqrt,0.937634408602151,0.924731182795699,0.953053421726472,0.963230127360562,1,0
3,0.25,0.929032258064516,0.903225806451613,0.940549787422346,0.958686868686869,1,1
3,0.5,0.924731182795699,0.89247311827957,0.925855138211591,0.953177426438296,1,2
3,0.75,0.924731182795699,0.881720430107527,0.931581970029352,0.95201581027668,1,3
3,1.0,0.916129032258064,0.860215053763441,0.920220910799778,0.94302371541502,1,4
3,sqrt,0.920430107526882,0.913978494623656,0.935138279559316,0.95540404040404,1,0
