perturbation,level,snr_db,prediction_retention,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files
amplitude_gain,0.5,,0.956521739130435,0.91304347826087,0.933333333333333,0.954545454545455,1,23
amplitude_gain,1,,1,0.956521739130435,0.965367965367965,0.977272727272727,1,23
amplitude_gain,2,,1,0.956521739130435,0.965367965367965,0.977272727272727,1,23
white_noise,0,,1,0.956521739130435,0.965367965367965,0.977272727272727,1,23
white_noise,0.01,40,1,0.956521739130435,0.965367965367965,0.977272727272727,1,23
white_noise,0.05,26.0205999132796,0.956521739130435,0.91304347826087,0.933333333333333,0.954545454545455,1,23
white_noise,0.1,20,1,0.956521739130435,0.965367965367965,0.977272727272727,1,23
