min_samples_leaf,max_features,cv_seed,folds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,feature_family
1,sqrt,11,2,0.857142857142857,0.872222222222222,0.857936507936508,1,70,q1_base
1,sqrt,29,2,0.885714285714286,0.897117876569931,0.88452380952381,1,70,q1_base
1,sqrt,42,2,0.814285714285714,0.756305536568694,0.798412698412698,1,70,q1_base
1,sqrt,71,2,0.828571428571429,0.84775641025641,0.826190476190476,1,70,q1_base
1,sqrt,97,2,0.914285714285714,0.919718817591925,0.90952380952381,1,70,q1_base
1,0.25,11,2,0.857142857142857,0.872222222222222,0.857936507936508,1,70,q1_base
1,0.25,29,2,0.885714285714286,0.897117876569931,0.88452380952381,1,70,q1_base
1,0.25,42,2,0.814285714285714,0.756305536568694,0.798412698412698,1,70,q1_base
1,0.25,71,2,0.828571428571429,0.84775641025641,0.826190476190476,1,70,q1_base
1,0.25,97,2,0.914285714285714,0.919718817591925,0.90952380952381,1,70,q1_base
1,0.5,11,2,0.871428571428571,0.840557311790188,0.874603174603175,1,70,q1_base
1,0.5,29,2,0.885714285714286,0.897117876569931,0.88452380952381,1,70,q1_base
1,0.5,42,2,0.785714285714286,0.737496012759171,0.784126984126984,1,70,q1_base
1,0.5,71,2,0.857142857142857,0.874357611199716,0.856746031746032,1,70,q1_base
1,0.5,97,2,0.914285714285714,0.877379302379302,0.912301587301587,1,70,q1_base
1,0.75,11,2,0.814285714285714,0.793281148075669,0.829761904761905,1,70,q1_base
1,0.75,29,2,0.885714285714286,0.897117876569931,0.88452380952381,1,70,q1_base
1,0.75,42,2,0.785714285714286,0.737496012759171,0.784126984126984,1,70,q1_base
1,0.75,71,2,0.857142857142857,0.868974358974359,0.853968253968254,1,70,q1_base
1,0.75,97,2,0.914285714285714,0.877379302379302,0.912301587301587,1,70,q1_base
1,1.0,11,2,0.842857142857143,0.81910350994858,0.86031746031746,1,70,q1_base
1,1.0,29,2,0.885714285714286,0.897117876569931,0.88452380952381,1,70,q1_base
1,1.0,42,2,0.785714285714286,0.737496012759171,0.784126984126984,1,70,q1_base
1,1.0,71,2,0.842857142857143,0.857168373422243,0.840079365079365,1,70,q1_base
1,1.0,97,2,0.928571428571429,0.891388571670262,0.928968253968254,1,70,q1_base
2,sqrt,11,2,0.8,0.739090372991302,0.836111111111111,1,70,q1_base
2,sqrt,29,2,0.842857142857143,0.763110616508103,0.86984126984127,1,70,q1_base
2,sqrt,42,2,0.685714285714286,0.571036036036036,0.698809523809524,1,70,q1_base
2,sqrt,71,2,0.785714285714286,0.717979452054795,0.808730158730159,1,70,q1_base
2,sqrt,97,2,0.842857142857143,0.764809751651857,0.876587301587302,1,70,q1_base
2,0.25,11,2,0.8,0.739090372991302,0.836111111111111,1,70,q1_base
2,0.25,29,2,0.842857142857143,0.763110616508103,0.86984126984127,1,70,q1_base
2,0.25,42,2,0.685714285714286,0.571036036036036,0.698809523809524,1,70,q1_base
2,0.25,71,2,0.785714285714286,0.717979452054795,0.808730158730159,1,70,q1_base
2,0.25,97,2,0.842857142857143,0.764809751651857,0.876587301587302,1,70,q1_base
2,0.5,11,2,0.8,0.743798993798994,0.845634920634921,1,70,q1_base
2,0.5,29,2,0.842857142857143,0.763110616508103,0.86984126984127,1,70,q1_base
2,0.5,42,2,0.728571428571429,0.628383458646617,0.736507936507937,1,70,q1_base
2,0.5,71,2,0.785714285714286,0.723739495798319,0.808730158730159,1,70,q1_base
2,0.5,97,2,0.885714285714286,0.812696762696763,0.898015873015873,1,70,q1_base
2,0.75,11,2,0.785714285714286,0.729251823693409,0.828968253968254,1,70,q1_base
2,0.75,29,2,0.828571428571429,0.777771351455562,0.846428571428571,1,70,q1_base
2,0.75,42,2,0.714285714285714,0.603383458646617,0.71984126984127,1,70,q1_base
2,0.75,71,2,0.814285714285714,0.746352187197258,0.832539682539682,1,70,q1_base
2,0.75,97,2,0.885714285714286,0.812696762696763,0.898015873015873,1,70,q1_base
2,1.0,11,2,0.8,0.743798993798994,0.845634920634921,1,70,q1_base
2,1.0,29,2,0.842857142857143,0.792376472582422,0.863095238095238,1,70,q1_base
2,1.0,42,2,0.7,0.575966431229589,0.703174603174603,1,70,q1_base
2,1.0,71,2,0.814285714285714,0.760509031198686,0.832539682539682,1,70,q1_base
2,1.0,97,2,0.9,0.826693152780109,0.91468253968254,1,70,q1_base
3,sqrt,11,2,0.757142857142857,0.693358326979017,0.807936507936508,1,70,q1_base
3,sqrt,29,2,0.814285714285714,0.726103376103376,0.848809523809524,1,70,q1_base
3,sqrt,42,2,0.642857142857143,0.510944672709379,0.657142857142857,1,70,q1_base
3,sqrt,71,2,0.742857142857143,0.671930573339024,0.780555555555556,1,70,q1_base
3,sqrt,97,2,0.814285714285714,0.723825317855169,0.846031746031746,1,70,q1_base
3,0.25,11,2,0.757142857142857,0.693358326979017,0.807936507936508,1,70,q1_base
3,0.25,29,2,0.814285714285714,0.726103376103376,0.848809523809524,1,70,q1_base
3,0.25,42,2,0.642857142857143,0.510944672709379,0.657142857142857,1,70,q1_base
3,0.25,71,2,0.742857142857143,0.671930573339024,0.780555555555556,1,70,q1_base
3,0.25,97,2,0.814285714285714,0.723825317855169,0.846031746031746,1,70,q1_base
3,0.5,11,2,0.8,0.73510101010101,0.848412698412698,1,70,q1_base
3,0.5,29,2,0.814285714285714,0.726103376103376,0.848809523809524,1,70,q1_base
3,0.5,42,2,0.657142857142857,0.537958766779964,0.675,1,70,q1_base
3,0.5,71,2,0.771428571428571,0.703296146044625,0.811111111111111,1,70,q1_base
3,0.5,97,2,0.814285714285714,0.716314731020613,0.833730158730159,1,70,q1_base
3,0.75,11,2,0.771428571428571,0.722709722709723,0.824603174603175,1,70,q1_base
3,0.75,29,2,0.814285714285714,0.726103376103376,0.848809523809524,1,70,q1_base
3,0.75,42,2,0.671428571428571,0.549715504978663,0.688888888888889,1,70,q1_base
3,0.75,71,2,0.728571428571429,0.663509316770186,0.770634920634921,1,70,q1_base
3,0.75,97,2,0.857142857142857,0.762736498108015,0.874206349206349,1,70,q1_base
3,1.0,11,2,0.771428571428571,0.715590281674335,0.815079365079365,1,70,q1_base
3,1.0,29,2,0.814285714285714,0.726103376103376,0.848809523809524,1,70,q1_base
3,1.0,42,2,0.671428571428571,0.549715504978663,0.688888888888889,1,70,q1_base
3,1.0,71,2,0.728571428571429,0.675810904071774,0.770634920634921,1,70,q1_base
3,1.0,97,2,0.857142857142857,0.762736498108015,0.874206349206349,1,70,q1_base
1,sqrt,11,2,0.957142857142857,0.9639661829317,0.962301587301587,1,70,single_band_physics
1,sqrt,29,2,0.928571428571429,0.935343052466848,0.928968253968254,1,70,single_band_physics
1,sqrt,42,2,0.928571428571429,0.938063063063063,0.928968253968254,1,70,single_band_physics
