direction,alpha,train_files,hold_files,accuracy,balanced_accuracy,macro_f1
12_to_48,0,37,9,0.555555555555556,0.388888888888889,0.409090909090909
12_to_48,0.25,37,9,0.555555555555556,0.388888888888889,0.409090909090909
12_to_48,0.5,37,9,0.666666666666667,0.555555555555555,0.509090909090909
12_to_48,1,37,9,0.666666666666667,0.555555555555555,0.464646464646465
48_to_12,0,31,13,0.692307692307692,0.777777777777778,0.694805194805195
48_to_12,0.25,31,13,0.692307692307692,0.777777777777778,0.683333333333333
48_to_12,0.5,31,13,0.692307692307692,0.777777777777778,0.683333333333333
48_to_12,1,31,13,0.538461538461538,0.472222222222222,0.412698412698413
