model,fold,C,gamma,features,fit_files,hold_files,fit_seconds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,representation,stage
rbf_file_class_balanced,1,16,0.5,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00262570905033499,0.794117647058823,0.74863782051282,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,16,2,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00250583398155868,0.638888888888889,0.685971685971686,0.701388888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,16,2,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00298087496776134,0.705882352941177,0.749095731854353,0.76890756302521,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,64,0.03125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00193150003906339,0.694444444444444,0.602863749922573,0.732638888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,64,0.03125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00239033298566937,0.764705882352941,0.7375,0.819327731092437,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,64,0.125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00175637495703995,0.694444444444444,0.678801590566297,0.763888888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,64,0.125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00224429194349796,0.794117647058823,0.820982142857143,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,64,0.5,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.0018956249114126,0.694444444444444,0.741358641358641,0.760416666666667,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,64,0.5,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00237112503964454,0.794117647058823,0.821256868131868,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,64,2,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00247704109642655,0.638888888888889,0.685971685971686,0.701388888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,64,2,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00297895807307214,0.705882352941177,0.75632183908046,0.76890756302521,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,256,0.03125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00167737493757159,0.666666666666667,0.661092530657748,0.75,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,256,0.03125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00202262494713068,0.794117647058823,0.826668945089998,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,256,0.125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00137066701427102,0.75,0.803030303030303,0.822916666666667,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,256,0.125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00178670801687986,0.794117647058823,0.826668945089998,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,256,0.5,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00158862501848489,0.694444444444444,0.741060291060291,0.746527777777778,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,256,0.5,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00196170900017023,0.794117647058823,0.821256868131868,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,256,2,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00253345794044435,0.638888888888889,0.678674948240166,0.701388888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,256,2,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00314562499988824,0.676470588235294,0.71148056923919,0.733193277310924,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,1024,0.03125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00150804093573242,0.777777777777778,0.824293353705118,0.836805555555556,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,1024,0.03125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00184549996629357,0.794117647058823,0.826668945089998,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,1024,0.125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00115599995478988,0.694444444444444,0.754761904761905,0.763888888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,1024,0.125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00160212500486523,0.794117647058823,0.826668945089998,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,1024,0.5,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00145245902240276,0.666666666666667,0.723809523809524,0.732638888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,1024,0.5,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.0019822089234367,0.764705882352941,0.805548940223863,0.8062558356676,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,1024,2,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00274295802228153,0.638888888888889,0.681818181818182,0.701388888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,1024,2,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00342637510038912,0.617647058823529,0.667929292929293,0.664565826330532,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,1,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00133637501858175,0.583333333333333,0.47979797979798,0.618055555555556,1,36,one_second,train70
rbf_file_class_balanced,1,1,0.03125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00136574998032302,0.617647058823529,0.520833333333333,0.664565826330532,1,34,one_second,train70
rbf_file_class_balanced,0,1,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00121550005860627,0.638888888888889,0.582181259600615,0.725694444444444,1,36,one_second,train70
rbf_file_class_balanced,1,1,0.125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00139312504325062,0.735294117647059,0.63296568627451,0.757469654528478,1,34,one_second,train70
rbf_file_class_balanced,0,1,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00125729199498892,0.583333333333333,0.548913043478261,0.690972222222222,1,36,one_second,train70
