perturbation,level,snr_db,prediction_retention,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files
amplitude_gain,0.5,,1,0.826086956521739,0.633866133866134,0.662878787878788,0,23
amplitude_gain,1,,1,0.826086956521739,0.633866133866134,0.662878787878788,0,23
amplitude_gain,2,,0.739130434782609,0.608695652173913,0.465909090909091,0.475757575757576,0,23
white_noise,0,,1,0.826086956521739,0.633866133866134,0.662878787878788,0,23
white_noise,0.01,40,1,0.826086956521739,0.633866133866134,0.662878787878788,0,23
white_noise,0.05,26.0205999132796,1,0.826086956521739,0.633866133866134,0.662878787878788,0,23
white_noise,0.1,20,1,0.826086956521739,0.633866133866134,0.662878787878788,0,23
