model,fold,C,gamma,features,fit_files,hold_files,fit_seconds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,representation,stage
rbf_unweighted,1,16,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00211812497582287,0.844444444444444,0.855429292929293,0.840909090909091,1,45,one_second,development93
rbf_unweighted,0,16,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00184541696216911,0.583333333333333,0.366445135746606,0.367918313570487,0,48,one_second,development93
rbf_unweighted,1,16,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00243479199707508,0.622222222222222,0.378244535519126,0.386363636363636,0,45,one_second,development93
rbf_unweighted,0,64,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00133083306718618,0.666666666666667,0.625238095238095,0.597167325428195,0.5,48,one_second,development93
rbf_unweighted,1,64,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00184333394281566,0.622222222222222,0.615873015873016,0.625,1,45,one_second,development93
rbf_unweighted,0,64,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00130512495525181,0.729166666666667,0.6875,0.661561264822134,0.5,48,one_second,development93
rbf_unweighted,1,64,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00175191601738334,0.8,0.821132661707937,0.829545454545455,1,45,one_second,development93
rbf_unweighted,0,64,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00153795897495002,0.8125,0.856954887218045,0.856637022397892,1,48,one_second,development93
rbf_unweighted,1,64,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00193983397912234,0.866666666666667,0.868993135011442,0.863636363636364,1,45,one_second,development93
rbf_unweighted,0,64,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00196908402722329,0.708333333333333,0.525568181818182,0.508563899868248,0,48,one_second,development93
rbf_unweighted,1,64,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00245920801535249,0.666666666666667,0.449833535108959,0.431818181818182,0,45,one_second,development93
rbf_unweighted,0,256,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00121362507343292,0.75,0.784976756660111,0.788455204216074,1,48,one_second,development93
rbf_unweighted,1,256,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00179666606709361,0.777777777777778,0.812878787878788,0.818181818181818,1,45,one_second,development93
rbf_unweighted,0,256,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00133900006767362,0.8125,0.856954887218045,0.856637022397892,1,48,one_second,development93
rbf_unweighted,1,256,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.0015543750487268,0.888888888888889,0.89461926961927,0.897727272727273,1,45,one_second,development93
rbf_unweighted,0,256,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00144883303437382,0.9375,0.953333333333333,0.957427536231884,1,48,one_second,development93
rbf_unweighted,1,256,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00170987495221198,0.888888888888889,0.891908212560387,0.886363636363636,1,45,one_second,development93
rbf_unweighted,0,256,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00229058298282325,0.8125,0.759630503144654,0.706933465085639,0.5,48,one_second,development93
rbf_unweighted,1,256,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00317483302205801,0.844444444444444,0.851289428815004,0.840909090909091,1,45,one_second,development93
rbf_unweighted,0,1024,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00125900004059076,0.8125,0.850974025974026,0.856637022397892,1,48,one_second,development93
rbf_unweighted,1,1024,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.0015968750230968,0.888888888888889,0.907799043062201,0.909090909090909,1,45,one_second,development93
rbf_unweighted,0,1024,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00117995892651379,0.895833333333333,0.921855921855922,0.92383069828722,1,48,one_second,development93
rbf_unweighted,1,1024,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00145537499338388,0.911111111111111,0.908888888888889,0.909090909090909,1,45,one_second,development93
rbf_unweighted,0,1024,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00151054200250655,0.9375,0.951304457953394,0.945569828722003,1,48,one_second,development93
rbf_unweighted,1,1024,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00176162493880838,0.888888888888889,0.891908212560387,0.886363636363636,1,45,one_second,development93
rbf_unweighted,0,1024,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00227379100397229,0.791666666666667,0.744839743589744,0.696063899868248,0.5,48,one_second,development93
rbf_unweighted,1,1024,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00309870799537748,0.844444444444444,0.851289428815004,0.840909090909091,1,45,one_second,development93
