seed,folds,model,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files
11,3,four_classes,0.989247311827957,0.988866897575458,0.988636363636364,1,93
29,3,four_classes,0.967741935483871,0.971790890269151,0.966403162055336,1,93
42,3,four_classes,0.989247311827957,0.988866897575458,0.988636363636364,1,93
71,3,four_classes,0.978494623655914,0.980960391080916,0.983080808080808,1,93
97,3,four_classes,0.967741935483871,0.97319810588083,0.977525252525253,1,93
11,3,position_subtypes,0.989247311827957,0.988866897575458,0.988636363636364,1,93
29,3,position_subtypes,0.978494623655914,0.980569228546984,0.977766798418972,1,93
42,3,position_subtypes,0.978494623655914,0.980569228546984,0.977766798418972,1,93
71,3,position_subtypes,0.989247311827957,0.988866897575458,0.988636363636364,1,93
97,3,position_subtypes,0.989247311827957,0.988866897575458,0.988636363636364,1,93
